ItemID,Item,Voice,CompQ,CompQOptCorrect,CompQOptIncorrect,Name1,Gender1,Pred1,PredType1,Name2,Gender2,Pred2,PredType2,S1SubjReversed,S2SubjReversed,Verb,NPBias,NPBiasCat,GenderBias,ContType,Filler,AdvP,Tense,VerbConj,Continuation,Author,CompQTarget,CompQBase,CompQOptCorrectBase,CompQOptIncorrectBase,ICPro,S1S2,S3,S4
45,Mackenzie is a paralegal. Justin owns a limousine. Mackenzie and Justin are dating. Justin pitied Mackenzie this weekend because she had to work massive overtime leading up to an impending court deadline.,CS,Justin ____________.,owns a limousine,is a paralegal,Justin,MALE,owns a limousine,owns_a,Mackenzie,FEMALE,is a paralegal,is_a,TRUE,TRUE,pity,-83,NP2,10,NP2,are dating,this weekend,past,pitied,had to work massive overtime leading up to an impending court deadline.,CS,Pred1,NAME1 ____________.,PRED1,PRED2,she,Mackenzie is a paralegal. Justin owns a limousine. ,Mackenzie and Justin are dating. ,Justin pitied Mackenzie this weekend because she had to work massive overtime leading up to an impending court deadline.
46,Anthony is a bellhop. Linda owns a bagpipe. Linda and Anthony are cousins. Linda pitied Anthony last year because he lost his job at the nice hotel downtown and was without a steady job for several months.,NJ,Anthony ____________.,is a bellhop,owns a bagpipe,Linda,FEMALE,owns a bagpipe,owns_a,Anthony,MALE,is a bellhop,is_a,TRUE,FALSE,pity,-83,NP2,10,NP2,are cousins,last year,past,pitied,lost his job at the nice hotel downtown and was without a steady job for several months.,EF,Pred2,NAME2 ____________.,PRED2,PRED1,he,Anthony is a bellhop. Linda owns a bagpipe. ,Linda and Anthony are cousins. ,Linda pitied Anthony last year because he lost his job at the nice hotel downtown and was without a steady job for several months.
47,Louis likes to paint. Nicole owns a treadmill. Nicole and Louis are coworkers. Louis pitied Nicole this morning because she tripped while running and badly twisted her ankle.,BL,Louis and Nicole ____________.,are coworkers,are siblings,Louis,MALE,likes to paint,likes_to,Nicole,FEMALE,owns a treadmill,owns_a,FALSE,TRUE,pity,-83,NP2,10,NP2,are coworkers,this morning,past,pitied,tripped while running and badly twisted her ankle.,EF,Filler,NAME1 and NAME2 ____________.,FILLER,are siblings,she,Louis likes to paint. Nicole owns a treadmill. ,Nicole and Louis are coworkers. ,Louis pitied Nicole this morning because she tripped while running and badly twisted her ankle.
48,Laura is a paralegal. Herman likes to sail. Laura and Herman are roommates. Herman pities Laura every day because she wakes up at 5 to be at her law firm by 6 and doesn't get home until very late.,MT,TRUE or FALSE: It's Herman who pities Laura.,TRUE,FALSE,Herman,MALE,likes to sail,likes_to,Laura,FEMALE,is a paralegal,is_a,TRUE,TRUE,pity,-83,NP2,10,NP2,are roommates,every day,present,pities,wakes up at 5 to be at her law firm by 6 and doesn't get home until very late.,EF,ICVerb,TRUE or FALSE: It's NAME1 who VERBCONJ NAME2.,TRUE,FALSE,she,Laura is a paralegal. Herman likes to sail. ,Laura and Herman are roommates. ,Herman pities Laura every day because she wakes up at 5 to be at her law firm by 6 and doesn't get home until very late.
49,Lori owns a limousine. Tony is a paralegal. Lori and Tony are close friends. Lori pitied Tony last week because she found out he got into a lot of trouble for mis-filed reports at work.,CS,Where does Tony likely work?,A law office,A taxi service,Lori,FEMALE,owns a limousine,owns_a,Tony,MALE,is a paralegal,is_a,FALSE,FALSE,pity,-83,NP2,10,NP1,are close friends,last week,past,pitied,found out he got into a lot of trouble for mis-filed reports at work.,EF,Continuation,Where does Tony likely work?,A law office,A taxi service,she,Lori owns a limousine. Tony is a paralegal. ,Lori and Tony are close friends. ,Lori pitied Tony last week because she found out he got into a lot of trouble for mis-filed reports at work.
50,Susan likes to flirt. Harvey is a paralegal. Harvey and Susan are dating. Susan pitied Harvey on Monday because she heard about the big scandal involving his law firm.,NJ,Who likes to flirt?,Susan,Harvey,Susan,FEMALE,likes to flirt,likes_to,Harvey,MALE,is a paralegal,is_a,FALSE,TRUE,pity,-83,NP2,10,NP1,are dating,on Monday,past,pitied,heard about the big scandal involving his law firm.,EF,Pred1,Who PRED1?,NAME1,NAME2,she,Susan likes to flirt. Harvey is a paralegal. ,Harvey and Susan are dating. ,Susan pitied Harvey on Monday because she heard about the big scandal involving his law firm.
51,Hannah is a paralegal. Raymond likes to read. Hannah and Raymond are married. Hannah encouraged Raymond at lunch because he had reached the halfway point in Finnigan's Wake.,BL,Who likes to read?,Raymond,Hannah,Hannah,FEMALE,is a paralegal,is_a,Raymond,MALE,likes to read,likes_to,FALSE,FALSE,encourage,-12,neutral,6,NP2,are married,at lunch,past,encouraged,had reached the halfway point in Finnigan's Wake.,CS,Pred2,Who PRED2?,NAME2,NAME1,he,Hannah is a paralegal. Raymond likes to read. ,Hannah and Raymond are married. ,Hannah encouraged Raymond at lunch because he had reached the halfway point in Finnigan's Wake.
52,Tristan is an actor. Angie likes to read. Tristan and Angie are close friends. Tristan encouraged Angie earlier this week because she said she was considering writing a novel of her own.,MT,Tristan ____________.,is an actor,likes to read,Tristan,MALE,is an actor,is_a,Angie,FEMALE,likes to read,likes_to,FALSE,FALSE,encourage,-12,neutral,6,NP2,are close friends,earlier this week,past,encouraged,said she was considering writing a novel of her own.,CS,Pred1,NAME1 ____________.,PRED1,PRED2,she,Tristan is an actor. Angie likes to read. ,Tristan and Angie are close friends. ,Tristan encouraged Angie earlier this week because she said she was considering writing a novel of her own.
53,Cheyenne likes to read. Gilbert likes to paint. Gilbert and Cheyenne are engaged. Gilbert encouraged Cheyenne last week because she was feeling depressed and aimless after finishing a long-running book series.,CS,Cheyenne ____________.,likes to read,likes to paint,Gilbert,MALE,likes to paint,likes_to,Cheyenne,FEMALE,likes to read,likes_to,TRUE,FALSE,encourage,-12,neutral,6,NP2,are engaged,last week,past,encouraged,was feeling depressed and aimless after finishing a long-running book series.,CS,Pred2,NAME2 ____________.,PRED2,PRED1,she,Cheyenne likes to read. Gilbert likes to paint. ,Gilbert and Cheyenne are engaged. ,Gilbert encouraged Cheyenne last week because she was feeling depressed and aimless after finishing a long-running book series.
54,Margaret owns a treadmill. Elijah owns a bagpipe. Elijah and Margaret are siblings. Margaret encouraged Elijah last night because he had been mocked by some kids while practicing in the park.,NJ,Margaret and Elijah ____________.,are siblings,are distantly related,Margaret,FEMALE,owns a treadmill,owns_a,Elijah,MALE,owns a bagpipe,owns_a,FALSE,TRUE,encourage,-12,neutral,6,NP2,are siblings,last night,past,encouraged,had been mocked by some kids while practicing in the park.,CS,Filler,NAME1 and NAME2 ____________.,FILLER,are distantly related,he,Margaret owns a treadmill. Elijah owns a bagpipe. ,Elijah and Margaret are siblings. ,Margaret encouraged Elijah last night because he had been mocked by some kids while practicing in the park.
55,Donovan owns a treadmill. Marianne is a paralegal. Donovan and Marianne are divorced. Marianne encouraged Donovan today because he had started running again after letting the treadmill sit idle for several months.,BL,TRUE or FALSE: It's Donovan who encouraged Marianne.,FALSE,TRUE,Marianne,FEMALE,is a paralegal,is_a,Donovan,MALE,owns a treadmill,owns_a,TRUE,TRUE,encourage,-12,neutral,6,NP2,are divorced,today,past,encouraged,had started running again after letting the treadmill sit idle for several months.,CS,ICVerb,TRUE or FALSE: It's NAME2 who VERBCONJ NAME1.,FALSE,TRUE,he,Donovan owns a treadmill. Marianne is a paralegal. ,Donovan and Marianne are divorced. ,Marianne encouraged Donovan today because he had started running again after letting the treadmill sit idle for several months.
56,Candice likes to flirt. Dave is an actor. Dave and Candice are neighbors. Candice encouraged Dave on Friday because she showed up unexpected at a debut of his new theater production.,MT,Did Dave think Candice would come to his play?,NO,YES,Candice,FEMALE,likes to flirt,likes_to,Dave,MALE,is an actor,is_a,FALSE,TRUE,encourage,-12,neutral,6,NP1,are neighbors,on Friday,past,encouraged,showed up unexpected at a debut of his new theater production.,CS,Continuation,Did NAME2 think NAME1 would come to his play?,NO,YES,she,Candice likes to flirt. Dave is an actor. ,Dave and Candice are neighbors. ,Candice encouraged Dave on Friday because she showed up unexpected at a debut of his new theater production.
57,Sheila owns a bagpipe. Spencer likes to sail. Sheila and Spencer are roommates. Spencer encouraged Sheila yesterday because he couldn't believe how much progress she was making on Scotland the Brave.,CS,Who likes to sail?,Spencer,Sheila,Spencer,MALE,likes to sail,likes_to,Sheila,FEMALE,owns a bagpipe,owns_a,TRUE,TRUE,encourage,-12,neutral,6,NP1,are roommates,yesterday,past,encouraged,couldn't believe how much progress she was making on Scotland the Brave.,CS,Pred1,Who PRED1?,NAME1,NAME2,he,Sheila owns a bagpipe. Spencer likes to sail. ,Sheila and Spencer are roommates. ,Spencer encouraged Sheila yesterday because he couldn't believe how much progress she was making on Scotland the Brave.
58,Valerie likes to crochet. Jim likes to sail. Jim and Valerie are cousins. Valerie encouraged Jim this morning because she had made him thick alpaca gloves to take on his next sailing trip on the northeast coast.,NJ,Who likes to sail?,Jim,Valerie,Valerie,FEMALE,likes to crochet,likes_to,Jim,MALE,likes to sail,likes_to,FALSE,TRUE,encourage,-12,neutral,6,NP1,are cousins,this morning,past,encouraged,had made him thick alpaca gloves to take on his next sailing trip on the northeast coast.,CS,Pred2,Who PRED2?,NAME2,NAME1,she,Valerie likes to crochet. Jim likes to sail. ,Jim and Valerie are cousins. ,Valerie encouraged Jim this morning because she had made him thick alpaca gloves to take on his next sailing trip on the northeast coast.
59,Sylvia likes to read. Curtis is an actor. Curtis and Sylvia are dating. Curtis encouraged Sylvia last night because he publicly dedicated his new play to her.,BL,Curtis ____________.,is an actor,likes to read,Curtis,MALE,is an actor,is_a,Sylvia,FEMALE,likes to read,likes_to,TRUE,FALSE,encourage,-12,neutral,6,NP1,are dating,last night,past,encouraged,publicly dedicated his new play to her.,CS,Pred1,NAME1 ____________.,PRED1,PRED2,he,Sylvia likes to read. Curtis is an actor. ,Curtis and Sylvia are dating. ,Curtis encouraged Sylvia last night because he publicly dedicated his new play to her.
60,Gina owns a salamander. Dustin owns a pub. Gina and Dustin are distantly related. Dustin encouraged Gina this evening because he treated her to the house special after she confided in him about a rough day at work.,MT,Gina ____________.,owns a salamander,owns a pub,Dustin,MALE,owns a pub,owns_a,Gina,FEMALE,owns a salamander,owns_a,TRUE,TRUE,encourage,-12,neutral,6,NP1,are distantly related,this evening,past,encouraged,treated her to the house special after she confided in him about a rough day at work.,CS,Pred2,NAME2 ____________.,PRED2,PRED1,he,Gina owns a salamander. Dustin owns a pub. ,Gina and Dustin are distantly related. ,Dustin encouraged Gina this evening because he treated her to the house special after she confided in him about a rough day at work.
61,Austin is a bellhop. Jasmine is a retiree. Austin and Jasmine are neighbors. Austin greeted Jasmine early this morning because she was taking an early bus to go see her grandson.,CS,Austin and Jasmine ____________.,are neighbors,are coworkers,Austin,MALE,is a bellhop,is_a,Jasmine,FEMALE,is a retiree,is_a,FALSE,FALSE,greet,-8,neutral,-16,NP2,are neighbors,early this morning,past,greeted,was taking an early bus to go see her grandson.,EF,Filler,NAME1 and NAME2 ____________.,FILLER,are coworkers,she,Austin is a bellhop. Jasmine is a retiree. ,Austin and Jasmine are neighbors. ,Austin greeted Jasmine early this morning because she was taking an early bus to go see her grandson.
62,Jack owns a salamander. Alyssa is a paralegal. Jack and Alyssa are close friends. Jack greeted Alyssa yesterday afternoon because she stopped by to drop off the contract he asked for.,NJ,TRUE or FALSE: It's Jack who greeted Alyssa.,TRUE,FALSE,Jack,MALE,owns a salamander,owns_a,Alyssa,FEMALE,is a paralegal,is_a,FALSE,FALSE,greet,-8,neutral,-16,NP2,are close friends,yesterday afternoon,past,greeted,stopped by to drop off the contract he asked for.,EF,ICVerb,TRUE or FALSE: It's NAME1 who VERBCONJ NAME2.,TRUE,FALSE,she,Jack owns a salamander. Alyssa is a paralegal. ,Jack and Alyssa are close friends. ,Jack greeted Alyssa yesterday afternoon because she stopped by to drop off the contract he asked for.
63,Ann likes to read. Maurice is a retiree. Ann and Maurice are close friends. Ann greets Maurice most mornings because he walks by her large window on his way to the coffeeshop.,BL,Why is Maurice free to walk to the coffeeshop most mornings?,Maurice is retired.,Maurice likes to read.,Ann,FEMALE,likes to read,likes_to,Maurice,MALE,is a retiree,is_a,FALSE,FALSE,greet,-8,neutral,-16,NP2,are close friends,most mornings,present,greets,walks by her large window on his way to the coffeeshop.,EF,Continuation,Why is NAME2 free to walk to the coffeeshop most mornings?,NAME2 is retired.,NAME2 likes to read.,he,Ann likes to read. Maurice is a retiree. ,Ann and Maurice are close friends. ,Ann greets Maurice most mornings because he walks by her large window on his way to the coffeeshop.
64,Amy is an actor. Jeff likes to sail. Jeff and Amy are sweethearts. Amy greets Jeff every morning because he stops by to help her run lines.,MT,Who is an actor?,Amy,Jeff,Amy,FEMALE,is an actor,is_a,Jeff,MALE,likes to sail,likes_to,FALSE,TRUE,greet,-8,neutral,-16,NP2,are sweethearts,every morning,present,greets,stops by to help her run lines.,EF,Pred1,Who PRED1?,NAME1,NAME2,he,Amy is an actor. Jeff likes to sail. ,Jeff and Amy are sweethearts. ,Amy greets Jeff every morning because he stops by to help her run lines.
65,Brad is a paralegal. Molly owns a treadmill. Molly and Brad are dating. Molly greeted Brad yesterday afternoon because he had come back to retrieve his briefcase full of confidential documents.,CS,Who is a paralegal?,Brad,Molly,Molly,FEMALE,owns a treadmill,owns_a,Brad,MALE,is a paralegal,is_a,TRUE,FALSE,greet,-8,neutral,-16,NP2,are dating,yesterday afternoon,past,greeted,had come back to retrieve his briefcase full of confidential documents.,EF,Pred2,Who PRED2?,NAME2,NAME1,he,Brad is a paralegal. Molly owns a treadmill. ,Molly and Brad are dating. ,Molly greeted Brad yesterday afternoon because he had come back to retrieve his briefcase full of confidential documents.
66,Donald is an actor. Danielle is an ophthalmologist. Donald and Danielle are siblings. Donald greeted Danielle this morning because he had come into her office for a consultation.,NJ,Donald ____________.,is an actor,is an ophthalmologist,Donald,MALE,is an actor,is_a,Danielle,FEMALE,is an ophthalmologist,is_a,FALSE,FALSE,greet,-8,neutral,-16,NP1,are siblings,this morning,past,greeted,had come into her office for a consultation.,CS,Pred1,NAME1 ____________.,PRED1,PRED2,he,Donald is an actor. Danielle is an ophthalmologist. ,Donald and Danielle are siblings. ,Donald greeted Danielle this morning because he had come into her office for a consultation.
67,Sonia likes to sail. Wesley likes to flirt. Wesley and Sonia are neighbors. Wesley greeted Sonia last week because he was hanging out on the beach when she sailed by.,BL,Sonia ____________.,likes to sail,likes to flirt,Wesley,MALE,likes to flirt,likes_to,Sonia,FEMALE,likes to sail,likes_to,TRUE,FALSE,greet,-8,neutral,-16,NP1,are neighbors,last week,past,greeted,was hanging out on the beach when she sailed by.,CS,Pred2,NAME2 ____________.,PRED2,PRED1,he,Sonia likes to sail. Wesley likes to flirt. ,Wesley and Sonia are neighbors. ,Wesley greeted Sonia last week because he was hanging out on the beach when she sailed by.
68,Ruth is an ophthalmologist. Fred likes to paint. Fred and Ruth are sweethearts. Fred greeted Ruth on Saturday because he had stopped by to ask if she'd model for one of his upcoming projects.,MT,Fred and Ruth ____________.,are sweethearts,are neighbors,Fred,MALE,likes to paint,likes_to,Ruth,FEMALE,is an ophthalmologist,is_a,TRUE,FALSE,greet,-8,neutral,-16,NP1,are sweethearts,on Saturday,past,greeted,had stopped by to ask if she'd model for one of his upcoming projects.,CS,Filler,NAME1 and NAME2 ____________.,FILLER,are neighbors,he,Ruth is an ophthalmologist. Fred likes to paint. ,Fred and Ruth are sweethearts. ,Fred greeted Ruth on Saturday because he had stopped by to ask if she'd model for one of his upcoming projects.
69,Randy owns a limousine. Katie likes to paint. Katie and Randy are neighbors. Randy greeted Katie this weekend because he wound up driving her and her friends to the gala opening of a new art gallery.,CS,TRUE or FALSE: It's Katie who greeted Randy.,FALSE,TRUE,Randy,MALE,owns a limousine,owns_a,Katie,FEMALE,likes to paint,likes_to,FALSE,TRUE,greet,-8,neutral,-16,NP1,are neighbors,this weekend,past,greeted,wound up driving her and her friends to the gala opening of a new art gallery.,CS,ICVerb,TRUE or FALSE: It's NAME2 who VERBCONJ NAME1.,FALSE,TRUE,he,Randy owns a limousine. Katie likes to paint. ,Katie and Randy are neighbors. ,Randy greeted Katie this weekend because he wound up driving her and her friends to the gala opening of a new art gallery.
70,Lillian likes to read. Oscar likes to paint. Lillian and Oscar are close friends. Lillian greeted Oscar this morning because she was at the local library where he was setting up a display for some of his new paintings.,NJ,What was Oscar putting on display at the library?,Paintings,Books,Lillian,FEMALE,likes to read,likes_to,Oscar,MALE,likes to paint,likes_to,FALSE,FALSE,greet,-8,neutral,-16,NP1,are close friends,this morning,past,greeted,was at the local library where he was setting up a display for some of his new paintings.,CS,Continuation,What was NAME2 putting on display at the library?,Paintings,Books,she,Lillian likes to read. Oscar likes to paint. ,Lillian and Oscar are close friends. ,Lillian greeted Oscar this morning because she was at the local library where he was setting up a display for some of his new paintings.
71,Mallory is a retiree. Bryce owns a treadmill. Mallory and Bryce are neighbors. Mallory interrupted Bryce today because he was working out when she needed someone to help her jump start her car.,BL,Who is a retiree?,Mallory,Bryce,Mallory,FEMALE,is a retiree,is_a,Bryce,MALE,owns a treadmill,owns_a,FALSE,FALSE,interrupt,3,neutral,-6,NP2,are neighbors,today,past,interrupted,was working out when she needed someone to help her jump start her car.,CS,Pred1,Who PRED1?,NAME1,NAME2,he,Mallory is a retiree. Bryce owns a treadmill. ,Mallory and Bryce are neighbors. ,Mallory interrupted Bryce today because he was working out when she needed someone to help her jump start her car.
72,Sandra likes to paint. Dominic owns a salamander. Dominic and Sandra are roommates. Sandra interrupted Dominic at lunch because he kept droning on and on about proper salamander care.,MT,Who owns a salamander?,Dominic,Sandra,Sandra,FEMALE,likes to paint,likes_to,Dominic,MALE,owns a salamander,owns_a,FALSE,TRUE,interrupt,3,neutral,-6,NP2,are roommates,at lunch,past,interrupted,kept droning on and on about proper salamander care.,CS,Pred2,Who PRED2?,NAME2,NAME1,he,Sandra likes to paint. Dominic owns a salamander. ,Dominic and Sandra are roommates. ,Sandra interrupted Dominic at lunch because he kept droning on and on about proper salamander care.
73,Logan is a paralegal. Hailey owns a bagpipe. Hailey and Logan are cousins. Hailey interrupted Logan this afternoon because he was talking on the phone when she started loudly practicing in the same room.,CS,Hailey ____________.,owns a bagpipe,is a paralegal,Hailey,FEMALE,owns a bagpipe,owns_a,Logan,MALE,is a paralegal,is_a,TRUE,FALSE,interrupt,3,neutral,-6,NP2,are cousins,this afternoon,past,interrupted,was talking on the phone when she started loudly practicing in the same room.,CS,Pred1,NAME1 ____________.,PRED1,PRED2,he,Logan is a paralegal. Hailey owns a bagpipe. ,Hailey and Logan are cousins. ,Hailey interrupted Logan this afternoon because he was talking on the phone when she started loudly practicing in the same room.
74,Evelyn likes to sail. Chris is an ophthalmologist. Evelyn and Chris are married. Evelyn interrupted Chris this morning because he was still on the phone with his dad but running late for his shift at the hospital.,NJ,Chris ____________.,is an ophthalmologist,likes to sail,Evelyn,FEMALE,likes to sail,likes_to,Chris,MALE,is an ophthalmologist,is_a,FALSE,FALSE,interrupt,3,neutral,-6,NP2,are married,this morning,past,interrupted,was still on the phone with his dad but running late for his shift at the hospital.,CS,Pred2,NAME2 ____________.,PRED2,PRED1,he,Evelyn likes to sail. Chris is an ophthalmologist. ,Evelyn and Chris are married. ,Evelyn interrupted Chris this morning because he was still on the phone with his dad but running late for his shift at the hospital.
75,Camila owns a pub. Rick owns a bagpipe. Rick and Camila are close friends. Rick interrupted Camila today because she had stopped by to chat when he was about to leave for band practice.,BL,Rick and Camila ____________.,are close friends,are divorced,Rick,MALE,owns a bagpipe,owns_a,Camila,FEMALE,owns a pub,owns_a,TRUE,FALSE,interrupt,3,neutral,-6,NP2,are close friends,today,past,interrupted,had stopped by to chat when he was about to leave for band practice.,CS,Filler,NAME1 and NAME2 ____________.,FILLER,are divorced,she,Camila owns a pub. Rick owns a bagpipe. ,Rick and Camila are close friends. ,Rick interrupted Camila today because she had stopped by to chat when he was about to leave for band practice.
76,Autumn is a bellhop. Stuart likes to crochet. Stuart and Autumn are strangers. Stuart interrupted Autumn yesterday because he was having trouble finding the hotel gym.,MT,TRUE or FALSE: It's Stuart who interrupted Autumn.,TRUE,FALSE,Stuart,MALE,likes to crochet,likes_to,Autumn,FEMALE,is a bellhop,is_a,TRUE,FALSE,interrupt,3,neutral,-6,NP1,are strangers,yesterday,past,interrupted,was having trouble finding the hotel gym.,CS,ICVerb,TRUE or FALSE: It's NAME1 who VERBCONJ NAME2.,TRUE,FALSE,he,Autumn is a bellhop. Stuart likes to crochet. ,Stuart and Autumn are strangers. ,Stuart interrupted Autumn yesterday because he was having trouble finding the hotel gym.
77,Wayne is a retiree. Cindy is a bellhop. Cindy and Wayne are cousins. Wayne interrupted Cindy earlier today because he wanted to ask her to drop him off at the library on her way to the hotel.,CS,What was Cindy likely going to do at the hotel?,work,sleep,Wayne,MALE,is a retiree,is_a,Cindy,FEMALE,is a bellhop,is_a,FALSE,TRUE,interrupt,3,neutral,-6,NP1,are cousins,earlier today,past,interrupted,wanted to ask her to drop him off at the library on her way to the hotel.,CS,Continuation,What was NAME2 likely going to do at the hotel?,work,sleep,he,Wayne is a retiree. Cindy is a bellhop. ,Cindy and Wayne are cousins. ,Wayne interrupted Cindy earlier today because he wanted to ask her to drop him off at the library on her way to the hotel.
78,Marcus owns a bagpipe. Tamara is an actor. Marcus and Tamara are siblings. Tamara interrupted Marcus this weekend because she couldn't practice her lines over the noise of his bagpipe practice.,NJ,Who is an actor?,Tamara,Marcus,Tamara,FEMALE,is an actor,is_a,Marcus,MALE,owns a bagpipe,owns_a,TRUE,TRUE,interrupt,3,neutral,-6,NP1,are siblings,this weekend,past,interrupted,couldn't practice her lines over the noise of his bagpipe practice.,CS,Pred1,Who PRED1?,NAME1,NAME2,she,Marcus owns a bagpipe. Tamara is an actor. ,Marcus and Tamara are siblings. ,Tamara interrupted Marcus this weekend because she couldn't practice her lines over the noise of his bagpipe practice.
79,Madison owns a bagpipe. Russell owns a limousine. Madison and Russell are neighbors. Madison interrupted Russell the other day because she wanted his input on a new bagpipe piece she was working on.,BL,Who owns a limousine?,Russell,Madison,Madison,FEMALE,owns a bagpipe,owns_a,Russell,MALE,owns a limousine,owns_a,FALSE,FALSE,interrupt,3,neutral,-6,NP1,are neighbors,the other day,past,interrupted,wanted his input on a new bagpipe piece she was working on.,CS,Pred2,Who PRED2?,NAME2,NAME1,she,Madison owns a bagpipe. Russell owns a limousine. ,Madison and Russell are neighbors. ,Madison interrupted Russell the other day because she wanted his input on a new bagpipe piece she was working on.
80,"Nina owns a limousine. Brady owns a pub. Nina and Brady are distantly related. Brady interrupted Nina tonight because he wanted her to move the limousine, which was blocking access to the pub from Main Street.",MT,Brady ____________.,owns a pub,owns a limousine,Brady,MALE,owns a pub,owns_a,Nina,FEMALE,owns a limousine,owns_a,TRUE,TRUE,interrupt,3,neutral,-6,NP1,are distantly related,tonight,past,interrupted,"wanted her to move the limousine, which was blocking access to the pub from Main Street.",CS,Pred1,NAME1 ____________.,PRED1,PRED2,he,Nina owns a limousine. Brady owns a pub. ,Nina and Brady are distantly related. ,"Brady interrupted Nina tonight because he wanted her to move the limousine, which was blocking access to the pub from Main Street."
81,Alexis owns a bagpipe. Jeremiah likes to read. Jeremiah and Alexis are roommates. Jeremiah confided in Alexis yesterday because she asked him why he seemed so upset by the novel he had just finished.,CS,Alexis ____________.,owns a bagpipe,likes to read,Jeremiah,MALE,likes to read,likes_to,Alexis,FEMALE,owns a bagpipe,owns_a,TRUE,FALSE,confide_in,5,neutral,-7,NP2,are roommates,yesterday,past,confided in,asked him why he seemed so upset by the novel he had just finished.,CS,Pred2,NAME2 ____________.,PRED2,PRED1,she,Alexis owns a bagpipe. Jeremiah likes to read. ,Jeremiah and Alexis are roommates. ,Jeremiah confided in Alexis yesterday because she asked him why he seemed so upset by the novel he had just finished.
82,Jay likes to paint. Meghan likes to sail. Meghan and Jay are close friends. Jay confides in Meghan regularly because she really understands his artistic vision.,NJ,Jay and Meghan ____________.,are close friends,siblings,Jay,MALE,likes to paint,likes_to,Meghan,FEMALE,likes to sail,likes_to,FALSE,TRUE,confide_in,5,neutral,-7,NP2,are close friends,regularly,present,confides in,really understands his artistic vision.,CS,Filler,NAME1 and NAME2 ____________.,FILLER,siblings,she,Jay likes to paint. Meghan likes to sail. ,Meghan and Jay are close friends. ,Jay confides in Meghan regularly because she really understands his artistic vision.
83,Jane is a bellhop. Dennis likes to paint. Jane and Dennis are strangers. Dennis confided in Jane earlier today because she was the only person at the hotel polite enough to hear him out.,BL,TRUE or FALSE: It's Jane who confided in Dennis.,FALSE,TRUE,Dennis,MALE,likes to paint,likes_to,Jane,FEMALE,is a bellhop,is_a,TRUE,TRUE,confide_in,5,neutral,-7,NP2,are strangers,earlier today,past,confided in,was the only person at the hotel polite enough to hear him out.,CS,ICVerb,TRUE or FALSE: It's NAME2 who VERBCONJ NAME1.,FALSE,TRUE,she,Jane is a bellhop. Dennis likes to paint. ,Jane and Dennis are strangers. ,Dennis confided in Jane earlier today because she was the only person at the hotel polite enough to hear him out.
84,Kendra owns a treadmill. Brett owns a limousine. Kendra and Brett are neighbors. Kendra confides in Brett occasionally because he is consistently supportive of her efforts to get back in shape.,MT,Has Kendra likely been using the treadmill in recent weeks?,YES,NO,Kendra,FEMALE,owns a treadmill,owns_a,Brett,MALE,owns a limousine,owns_a,FALSE,FALSE,confide_in,5,neutral,-7,NP2,are neighbors,occasionally,present,confides in,is consistently supportive of her efforts to get back in shape.,CS,Continuation,Has NAME1 likely been using the treadmill in recent weeks?,YES,NO,he,Kendra owns a treadmill. Brett owns a limousine. ,Kendra and Brett are neighbors. ,Kendra confides in Brett occasionally because he is consistently supportive of her efforts to get back in shape.
85,"Isaac likes to sail. Beth owns a bagpipe. Isaac and Beth are siblings. Beth confided in Isaac yesterday because he had asked about this weekend's concert, which she felt like she had bombed.",CS,Who owns a bagpipe?,Beth,Isaac,Beth,FEMALE,owns a bagpipe,owns_a,Isaac,MALE,likes to sail,likes_to,TRUE,TRUE,confide_in,5,neutral,-7,NP2,are siblings,yesterday,past,confided in,"had asked about this weekend's concert, which she felt like she had bombed.",CS,Pred1,Who PRED1?,NAME1,NAME2,he,Isaac likes to sail. Beth owns a bagpipe. ,Isaac and Beth are siblings. ,"Beth confided in Isaac yesterday because he had asked about this weekend's concert, which she felt like she had bombed."
86,Jodi likes to crochet. Liam is a retiree. Jodi and Liam are cousins. Liam confided in Jodi the other day because he actually misses the bustle and cameraderie of his old office job.,NJ,Who likes to crochet?,Jodi,Liam,Liam,MALE,is a retiree,is_a,Jodi,FEMALE,likes to crochet,likes_to,TRUE,TRUE,confide_in,5,neutral,-7,NP1,are cousins,the other day,past,confided in,actually misses the bustle and cameraderie of his old office job.,CS,Pred2,Who PRED2?,NAME2,NAME1,he,Jodi likes to crochet. Liam is a retiree. ,Jodi and Liam are cousins. ,Liam confided in Jodi the other day because he actually misses the bustle and cameraderie of his old office job.
87,Edwin owns a salamander. Abby is an ophthalmologist. Abby and Edwin are divorced. Edwin confided in Abby last month because he was worried that his eyesight was rapidly getting worse.,BL,Edwin ____________.,owns a salamander,is an ophthalmologist,Edwin,MALE,owns a salamander,owns_a,Abby,FEMALE,is an ophthalmologist,is_a,FALSE,TRUE,confide_in,5,neutral,-7,NP1,are divorced,last month,past,confided in,was worried that his eyesight was rapidly getting worse.,CS,Pred1,NAME1 ____________.,PRED1,PRED2,he,Edwin owns a salamander. Abby is an ophthalmologist. ,Abby and Edwin are divorced. ,Edwin confided in Abby last month because he was worried that his eyesight was rapidly getting worse.
